Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,5,,ལྔ་པ་ལྷུམས་ན་བཞུགས་པ་ནི།,"Chapter 5: The gestation",,,"Vol. Ka (1), pp. 11-12.",,"Vinayavastu (Saṃghabhedavastu): vol. 3(Ga), 278b.7-280a.2",,,"<svg xmlns='http://www.w3.org/2000/svg'><g><path xmlns='http://www.w3.org/2000/svg' d='M10694.7,8396.7C10698,8396.7,10694.7,8396.7,10694.7,8396.7c5.3,0,4-1032,6-1042s-43.3-1.3-78.7,1.3s-43.3-40-41.3-68s49.3-38.7,63.3-40c30-3.3,52,20,63.3,32s36.7-18.7,54.7-52c28-52,48-172,54.7-192c5.3-16,14.7-43.3,14.7-56.7s34.7-29.3,34.7-46.7c0-66.7-22.7-108-18.7-143.3c5.3-43.3,54-40,52-41.3c0,0,38,11.3,48.7-13.3c11.3-24.7,13.3-64.7,6.7-95.3s18-120,38-142c20-22,64.7-35.3,80-64.7c15.3-28.7,22-64.7,31.3-75.3c8.7-11.3,40-38,75.3-44.7c35.3-6.7,104.7-6.7,118,0s24.7,20,28.7,33.3c4.7,13.3,33.3,48.7,58,53.3s88.7,20,98,35.3c8.7,15.3,64.7,126.7,73.3,144.7c8.7,18,26.7,44.7,51.3,44.7c24.7,0,53.3-31.3,91.3-53.3c38-22,60-26.7,84.7-4.7c24.7,22,73.3,78,82,95.3c8.7,18,18,78,22,104.7c4.7,26.7-4.7,135.3,31.3,162s62,84.7,53.3,115.3c-8.7,31.3-53.3,82-71.3,100c-18,18-51.3,31.3-33.3,66.7c18,35.3,44.7,22,68.7,22c24.7,0,78,0,86.7,22c8.7,22,11.3,44.7,0,58c-11.3,13.3-46,23.3-71.3,28.7c-62,13.3-102-20-120-8.7s-20,15.3-22,53.3c-2,38,2,506.7,2,531.3c0,24.7,8.7,158,8.7,164.7c0,11.3,287.3,90,413.3,124.7c90.7,24.7,380.7,106.7,391.3,111.3c20,8.7,166.7,51.3,160,51.3c-14.7,0,98,411.3,98,411.3s-291.3,580-284.7,595.3c6.7,15.3,95.3,91.3,100,111.3s31.3,98,18,106.7s-261.3,23.3-318,26.7c-60,3.3-343.3,20-453.3-6.7c-3.3-0.7-24-32.7-50-116.7c-16.7-53.3-86-54-140-56.7c-260.7-12-1024-18-1036.7-20C10703.3,9418,10692,8396.7,10694.7,8396.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M8299.3,9716.7c0,0-160.7-67.3-106.7-196.7c58-138,98-115.3,142-222c44.7-106.7,38.7-396,22-484.7c-11.3-61.3-30.7-150-115.3-240c-32.7-34-80.7-75.3-84.7-133.3c-4.7-71.3-4.7-80,26.7-151.3c24.7-55.3,48.7-89.3,81.3-150.7c0,0,73.3-170,109.3-214c44.7-54.7,141.3-171.3,268-224.7c70-29.3,168-28.7,194.7-86.7s54-181.3,105.3-186.7c64.7-6.7,86.7,40,83.3,86.7c-3.3,44-26.7,142,0,160s68.7,60,68.7,108.7c0,48.7,8.7,98,18,120c8.7,22,48.7,106.7,75.3,106.7s173.3-8.7,191.3,22c18,31.3,40,98,40,138s13.3,84.7,22,102c8.7,18,48.7,102,88.7,111.3c40,8.7,53.3-31.3,102-22s103.3,20,102,62c-0.7,22-36.7,48-58.7,61.3s-115.3,8-120,30s-3.3,113.3,23.3,113.3s202-13.3,266.7-10c50.7,2.7,58,5.3,75.3,32c18,26.7,43.3,125.3,21.3,134.7s-66.7,13.3-66.7,40s1.3,261.3,1.3,278.7c0,18-11.3,56.7,28.7,61.3s73.3,14.7,73.3,14.7s23.3,192,8.7,298c-1.3,8-351.3,278-382,278s-614.7-26.7-850-26.7S8299.3,9716.7,8299.3,9716.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/><path xmlns='http://www.w3.org/2000/svg' d='M5152.7,7928.7c0,0-68.7-13.3-84.7-6.7c-15.3,6.7-96,36.7-140,40c-62,4.7-82-122-95.3-148.7c-11.3-22.7-15.3-68.7-38-100c-22-31.3-120-108.7-124.7-133.3c-4.7-24.7-4.7-55.3,46.7-66.7c31.3-6.7,184.7-113.3,220-160c35.3-46.7,184.7-186.7,280-208.7c95.3-22,318,26.7,393.3,28.7c75.3,2,171.3-28.7,198-51.3c26.7-22,42-100,104.7-120s60-15.3,126.7-8.7c60.7,6,80,46.7,88.7,62c8.7,15.3,15.3,42,0,78c-15.3,35.3-13.3,46.7-44.7,82c-20.7,24-71.3,46.7-60,26.7c11.3-20,33.3-51.3-15.3-62c-34.7-8-40-8.7-82,11.3c-27.3,12.7-34.7,30-22,62c11.3,28.7,62,40,100,42c38,2,91.3-13.3,120-13.3c28.7,0,60-2,71.3,8.7c11.3,11.3,20,178,20,188.7s11.3,178,11.3,240c0,23.3,8.7,338-2,358c-11.3,20-122,91.3-186.7,124.7c-120,62-231.3,31.3-291.3,20c-60-11.3-351.3-71.3-373.3-98S5259.3,7953.3,5152.7,7928.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></g></svg>"
A,5,1,དེ་ནས་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་བྱང་ཆུབ་སེམས་དཔའ་ལྷུམས་སུ་བཞུགས་པ་དེ་ལ།  སྐུའི་སྲུང་མར་ལག་ན་རལ་གྲི་དང་།  ལག་ན་མདུང་དང་།  ལག་ན་མདུང་ཐུང་དང་།  ལག་ན་མདའ་བོ་ཆེ་སྟེ། ལྷའི་བུ་དཔའ་ཞིང་བརྟུལ་ཕོད་པ་བཞི་བཞག་གོ,"To watch over the Bodhisattva during the gestative period, Indra sent four young hero gods, Khadgapani (Lag na ral gri), Shulapani (Lag na mdung), Tomarapani (Lag na mda 'bo che) and Shaktipani (Lag na mdung thung). ",བྱང་ཆུབ་སེམས་དཔའ་ལྷུམས་སུ་ཞུགས་པ་ལ་ལྷའི་བུ་བཞིས་མཚོན་ཐོགས་ནས་སྲུང་བ་,Four young gods holding weapons protect the bodhisattva while he resides in the womb ,"ཡང་དེ་དག་དང་ཉེ་བའི་ཁང་བཟང་གཅིག་ཏུ། ཡུམ་གྱི་སྐུའི་ལྟོ་བ་ན། བྱང་ཆུབ་སེམས་དཔའ་ལྷུམས་སུ་ཞུགས་པ་ནི། ལྷའི་སྐུ་འདྲ་བ་འོད་ཟེར་འཕྲོ་བས་བརྒྱན་པ་དང་། ཡུམ་གྱི་སྐུ་གཡས་གཡོན་དུ་ལྷའི་བགྲུང་མ་བཞི། རལ་གྲི་དང་། མདུང་དང་། མདུང་ཐུང་དང་། མདའ་བོ་ཆེ་རྣམས་འཛིན་པ་ཡོད་པ།  འཁོར་གཡོག་མང་པོ་མཆོད་པ་སྣ་ཚོགས་པའི་རྣམ་པ་འབྲིའོ། །དེ་ནས་རྒྱལ་པོས་བཙོན་རྣམས་བཏང་བ་དང། ཀུན་ཏུ་རྒྱུ་མིག་དམར་ཞེས་བྱ་བ། ད་ལྟའི་སཱ་བྱ་ཤིའི་ཆ་ལུགས་འདྲ་བ་ཅིག་གིས། རྒྱ་མཚོ་བཞིའི་ཆུ་ཡུམ་ལ་འདྲེན་པའི་རྣམ་པ་རྣམས་འདྲིའོ། །རྒྱལ་པོ་ཟ་གཙང་མ་ཡང་དེ་གཉིས་ན་ཉེ་བ་ན་བཞུགས་པ་རེ་བྱ།","In a mansion near the king's palace, the Buddha, like a god emanating rays of light and wearing jewelry, enters the womb of the queen. The queen is surrounded by four protector gods holding a sword, spear, short spear, and large arrows, respectively. A large retinue make various offerings. The king sets free his prisoners. A yogi or wanderer known as Lohita (mig dmar), resembling a Sāchashi (sA bya shi) follower today, offers water from the four seas to the mother. King Śuddhodana (zas gtsang ma) dwells near them.",278b.7-279a.1,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M10694.7,8396.7C10698,8396.7,10694.7,8396.7,10694.7,8396.7c5.3,0,4-1032,6-1042s-43.3-1.3-78.7,1.3s-43.3-40-41.3-68s49.3-38.7,63.3-40c30-3.3,52,20,63.3,32s36.7-18.7,54.7-52c28-52,48-172,54.7-192c5.3-16,14.7-43.3,14.7-56.7s34.7-29.3,34.7-46.7c0-66.7-22.7-108-18.7-143.3c5.3-43.3,54-40,52-41.3c0,0,38,11.3,48.7-13.3c11.3-24.7,13.3-64.7,6.7-95.3s18-120,38-142c20-22,64.7-35.3,80-64.7c15.3-28.7,22-64.7,31.3-75.3c8.7-11.3,40-38,75.3-44.7c35.3-6.7,104.7-6.7,118,0s24.7,20,28.7,33.3c4.7,13.3,33.3,48.7,58,53.3s88.7,20,98,35.3c8.7,15.3,64.7,126.7,73.3,144.7c8.7,18,26.7,44.7,51.3,44.7c24.7,0,53.3-31.3,91.3-53.3c38-22,60-26.7,84.7-4.7c24.7,22,73.3,78,82,95.3c8.7,18,18,78,22,104.7c4.7,26.7-4.7,135.3,31.3,162s62,84.7,53.3,115.3c-8.7,31.3-53.3,82-71.3,100c-18,18-51.3,31.3-33.3,66.7c18,35.3,44.7,22,68.7,22c24.7,0,78,0,86.7,22c8.7,22,11.3,44.7,0,58c-11.3,13.3-46,23.3-71.3,28.7c-62,13.3-102-20-120-8.7s-20,15.3-22,53.3c-2,38,2,506.7,2,531.3c0,24.7,8.7,158,8.7,164.7c0,11.3,287.3,90,413.3,124.7c90.7,24.7,380.7,106.7,391.3,111.3c20,8.7,166.7,51.3,160,51.3c-14.7,0,98,411.3,98,411.3s-291.3,580-284.7,595.3c6.7,15.3,95.3,91.3,100,111.3s31.3,98,18,106.7s-261.3,23.3-318,26.7c-60,3.3-343.3,20-453.3-6.7c-3.3-0.7-24-32.7-50-116.7c-16.7-53.3-86-54-140-56.7c-260.7-12-1024-18-1036.7-20C10703.3,9418,10692,8396.7,10694.7,8396.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,5,1,།དེ་ནས་ཡུམ་གྱི་ལྷུམས་སུ་བཞུགས་པ་ན་ཡང་མི་གཙང་བས་མ་སྦགས་ཤིང་།,The time in his mother's womb did not defile the unborn child in any way:,,,,,279a.1-2,,
A,5,1,ནོར་བུ་བཻ་ཌུརྱའི་དབུས་སུ་ཚོན་སྐུད་སྣ་ལྔ་བཞག་པ་ལྟར་ཁྱེའུའི་ལུས་ཕུན་སུམ་ཚོགས་པ་མཚན་དང་ལྡན་པ་དེ་ཉིད་ཡུམ་གྱི་སྐུ་ལུས་ཀྱི་ཕྱི་རོལ་ནས་ཀྱང་མ་བསྒྲིབས་པར་གསལ་བར་སྣང་བ་དང་།," visible through his mother's stomach, his splendid body shone like the gleaming heart of a lapis lazuli stone.",,,,,279a.3-5,,
A,5,1,དུས་དེ་ནས་བརྩམས་ཏེ་ཇི་སྲིད་འཚོའི་བར་དུ་ཡུམ་ཉིད་བསླབ་པའི་གནས་ལྔ་ལ་གནས་ཤིང་,"From the instant that the Bodhisattva went into her womb until the day she died, Mahamaya-devi kept the five precepts.",,,,,279a.7-279b.2,,
A,5,1,་འདོད་པ་ལ་ཡིད་གཏོད་པ་མེད་དོ། ,Not once was her mind troubled by desire.,,,,,279a.b.2-3,,
A,5,2,།དེ་ནས་ལྷ་མོ་སྒྱུ་འཕྲུལ་ཕོ་བྲང་གི་སྐྱེད་མོས་ཚལ་དུ་ཡོ་བྱད་དང་འབྱོར་པ་དཔག་ཏུ་མེད་པ་དང་བཅས་ཏེ་,"During this uncommon gestation period, the queen sojourned in the various palace parks, surrounded by unimaginable beauties and comforts. ",,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M8299.3,9716.7c0,0-160.7-67.3-106.7-196.7c58-138,98-115.3,142-222c44.7-106.7,38.7-396,22-484.7c-11.3-61.3-30.7-150-115.3-240c-32.7-34-80.7-75.3-84.7-133.3c-4.7-71.3-4.7-80,26.7-151.3c24.7-55.3,48.7-89.3,81.3-150.7c0,0,73.3-170,109.3-214c44.7-54.7,141.3-171.3,268-224.7c70-29.3,168-28.7,194.7-86.7s54-181.3,105.3-186.7c64.7-6.7,86.7,40,83.3,86.7c-3.3,44-26.7,142,0,160s68.7,60,68.7,108.7c0,48.7,8.7,98,18,120c8.7,22,48.7,106.7,75.3,106.7s173.3-8.7,191.3,22c18,31.3,40,98,40,138s13.3,84.7,22,102c8.7,18,48.7,102,88.7,111.3c40,8.7,53.3-31.3,102-22s103.3,20,102,62c-0.7,22-36.7,48-58.7,61.3s-115.3,8-120,30s-3.3,113.3,23.3,113.3s202-13.3,266.7-10c50.7,2.7,58,5.3,75.3,32c18,26.7,43.3,125.3,21.3,134.7s-66.7,13.3-66.7,40s1.3,261.3,1.3,278.7c0,18-11.3,56.7,28.7,61.3s73.3,14.7,73.3,14.7s23.3,192,8.7,298c-1.3,8-351.3,278-382,278s-614.7-26.7-850-26.7S8299.3,9716.7,8299.3,9716.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,5,2,་སྡུག་བསྔལ་དང་ཡིད་མི་བདེ་བའི་རྐྱེན་ཐམས་ཅད་སྤངས་ཏེ།  དགའ་ཚལ་གྱི་ལྷའི་བུ་མོ་བཞིན་དུ་གནས་པ་ལས།,Any least pain or sadness was carefully spared her: her happiness equaled that of goddesses in paradise.,,,,,279b.3-4,,
A,5,2,ནམ་ཞིག་ན་རྒྱ་མཚོ་བཞིའི་ཆུ་བཏུང་བར་འདོད་པ་སྐྱེས་ནས།,"One day, an odd craving for drinking the waters of the four oceans came to her.",,,,,279b.4,,
A,5,2,རྒྱལ་པོ་ལ་ཞུས་ཤིང་དེས་མཚན་མཁན་རྣམས་ལ་དྲིས་པས།,"The queen confided it to her husband, who subsequently consulted the oracle priests.",,,,,279b.4,,
