Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,5,2,ལྷུམས་སུ་ཞུགས་པ་འདིའི་མཐུ་ལགས་ཏེ།,"“This wish comes to her from the child, not from her own self.",,,,,279b.4-5,,
A,5,2,འདིས་ཤེས་བྱའི་རྒྱ་མཚོ་འཐུང་བར་འགྱུར་བ་ལགས་སོ།, It means that your son will drink the ocean of all-knowing.”,,,,,279b.5,,
A,5,2,།རྒྱལ་པོས་སྨྲས་པ།  གལ་ཏེ་ཆུ་དེ་ལ་མ་བླུད་ན་ཅིརད་འགྱུར།,And what will happen if the queen herself does not get to drink such waters?” the king asked.,,,,,279b.5-6,,
A,5,2,།གསོལ་པ།  ཡན་ལག་མ་ཚང་བ་ཞིག་བཙའ་བར་འགྱུར་རོ།,“The child will be born with imperfect limbs.”,,,,,279b.6,,
A,5,2,།རྒྱལ་པོས་བསམས་པ།  ང་ཟས་གཙང་མ་བུ་ཡན་ལག་མ་ཚང་བར་བྱ་བ་ག་ལ་ཞིག་སྙམ་སྟེ།,"“I cannot allow my son to be born with an infirmity,” Shuddhodana remarked trenchantly.",ཟས་གཙང་,Shuddhodana,,,279b.6,,
A,5,2,ཀུན་དུ་རྒྱུ་མིག་དམར་ཞེས་བྱ་བ་སྒྱུ་འཕྲུལ་གྱི་རིག་སྔགས་ལ་བྱང་བ་ཞིག་བོས་ནས།,"He then had a yogi, an itinerant by name of Lohita (Mig dmar) who was expert at casting spells, brought to him.",ཀུན་ཏུ་རྒྱུ་མིག་དམར་,Itinerant Lohita,,,279b.6-7,,
A,5,2,དེས་སྔགས་ཀྱིས་སྤྲུལ་པའི་རྒྱ་མཚོ་བཞི་བསྟན་ཏེ།,"By reciting mantras, Lohita managed to conjure up the waters of the four oceans.",རྒྱ་མཚོ་བཞིའི་ཆུ་འབུལ་བ་,Offering waters of the four oceans,,,279b.7,,
A,5,2,དེའི་ཆུ་བླུད་ནས་ཚིམ་པར་བྱས་སོ།,"These were offered to the queen, whose craving was thus satisfied.",,,,,279b.7,,
A,5,3,།དེ་བཞིན་དུ་བཙོན་ཐམས་ཅད་ཐར་བར་བྱའོ་སྙམ་པ་ཡང་རྒྱལ་པོས་བཏང་།,"Furthermore, when Mahamaya-devi wished that the prison doors would open, Shuddhodana freed all the prisoners.",,,,,279b.7-280a.1,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M5152.7,7928.7c0,0-68.7-13.3-84.7-6.7c-15.3,6.7-96,36.7-140,40c-62,4.7-82-122-95.3-148.7c-11.3-22.7-15.3-68.7-38-100c-22-31.3-120-108.7-124.7-133.3c-4.7-24.7-4.7-55.3,46.7-66.7c31.3-6.7,184.7-113.3,220-160c35.3-46.7,184.7-186.7,280-208.7c95.3-22,318,26.7,393.3,28.7c75.3,2,171.3-28.7,198-51.3c26.7-22,42-100,104.7-120s60-15.3,126.7-8.7c60.7,6,80,46.7,88.7,62c8.7,15.3,15.3,42,0,78c-15.3,35.3-13.3,46.7-44.7,82c-20.7,24-71.3,46.7-60,26.7c11.3-20,33.3-51.3-15.3-62c-34.7-8-40-8.7-82,11.3c-27.3,12.7-34.7,30-22,62c11.3,28.7,62,40,100,42c38,2,91.3-13.3,120-13.3c28.7,0,60-2,71.3,8.7c11.3,11.3,20,178,20,188.7s11.3,178,11.3,240c0,23.3,8.7,338-2,358c-11.3,20-122,91.3-186.7,124.7c-120,62-231.3,31.3-291.3,20c-60-11.3-351.3-71.3-373.3-98S5259.3,7953.3,5152.7,7928.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,5,3,སྐྱེ་བོ་དུ་མ་སྦྱིན་པས་ཚིམ་པར་བྱའོ་སྙམ་པ་ཡང་རྒྱལ་པོས་དེ་བཞིན་དུ་མཛད།,"When she expressed a desire to feed the poor, the king supplied food and other provisions to the whole population.",རྩོན་<བཙོན་>རྣམ་གཏང་,Freeing the prisoners,,,280a.1,,
A,5,3,གཞན་ཡང་སྐྱེད་མོས་ཚལ་སྣ་ཚོགས་གཟིགས་པར་འདོད་པ་སོགས་ལ་ཡང་དེ་བཞིན་དུ་སྦྱར་རོ། །,"And when the queen asked to visit every one of their parks and gardens, her husband complied immediately.",,,,,280a.2,,
