Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Canonical Source (sde dge bka' 'gyur),Scene working notes
,,,,,,,Vol. Ta (9) p. 21.,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 51b.7-56a.1(?)",
,,,,,,,ཕྱོགས་གཅིག་ཏུ་ཀར་པ་སའི་ཚལ་མཚོན་བྱེད་ནགས་ཚལ་གཅིག་ཏུ། བཟང་སྡེ་དྲུག་བཅུ་རབ་ཏུ་བྱུང་བ་ལ། སངས་རྒྱས་ཀྱི་ཆོས་གསུང་པའི་ཚུལ་དང་བུ་མོ་དགའ་མོ་དང་དགའ་སྟོབས་མ་ལ་ཆོས་གསུང་པའི་ཚུལ་དང་། ཡང་ཕྱོགས་གཅིག་ཏུ། བུད་མེད་རྒྱན་གོས་ཕུན་སུམ་འཚོགས་པ་རྒན་གཞོན་གཉིས་ལ་ཆོས་སྟོན་པ་དང་། བྲམ་ཟེ་ལྷ་ཞེས་བྱ་བ་དང་། དེའི་ཆུང་མས་བསོད་སྙོམས་འབུལ་བ་དང་། དེ་གཉིས་ལ་ཆོས་གསུང་པ་དང་། བྲམ་ཟེས་ས་སྟོང་གཅིག་ནས་བརྒྱན་མང་པོ་རྙེད་པ་དང་། ཆུང་མས་གསེར་གྱི་བུམ་པ་རྙེད་པའི་ཚུལ་འབྲི་སྟེ། ཝ་ར་ནཱ་སིར་ཆོས་འཁོར་བསྐོར་བའི་སྐོར་རོ། །,"In a forest representing Kar pa sa'i tshal, the Buddha teaches dharma to sixty fully ordained monks. In a different scene, the Buddha teaches dharma to Nandā (dga' mo) and Nandabalā (dga' stobs ma). In another scene, the Buddha teaches dharma to two women, one old and the other young. The Brahmin, Deva (lha), and his wife offer alms to the Buddha. The Buddha teaches dharma to them in return. In a scene, the Brahmin finds a huge amount of jewelry and his wife finds a gold vase in the middle of nowhere.",,
