Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,16,,བཅུ་དྲུག་པ་བཙུན་མོ་རི་དྭགས་སྐྱེས་བ་ཞེས་པ་ནི།,"Chapter 16: The Bodhisattva takes Mṛgajā in marriage",,,Vol. Ga (4) p. 15,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 7b.1-7b.4",,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M28986,5720c22-170-65.3-286.7-111.3-368.7c-32.7-58.7-151.3-160-195.3-182c-44.7-22-148.7-61.3-213.3-44.7c-66.7,18-53.3,13.3-88.7,66.7c-18.7,28-48.7,53.3-93.3,66.7c-30.7,9.3-58,8.7-80-8.7c-22-18-47.3-24.7-84.7-58c-44.7-40-48.7-53.3-80-75.3c-31.3-22-84.7-62-106.7-80c-22-18-75.3-48.7-124.7-48.7s-114.7,52.7-142,84.7c-31.3,35.3-58,66.7-93.3,106.7c-30,34-53.3,44.7-102,48.7c-48,4.7-85.3-5.3-106.7-22c-24.7-20-100.7,40.7-142,75.3c-29.3,24.7-80,53.3-106.7,98c-26.7,44.7-62,102-111.3,133.3c-48.7,31.3-111.3,66.7-178,133.3s-8.7,164.7-4.7,213.3c4.7,48.7,124.7,138,115.3,226.7c-8.7,88.7-213.3,62-240,75.3s-124.7-22-173.3-31.3c-14-2.7-11.3-2-22.7-8.7c-20.7-18.7-4-4.7-4-4.7s-40.7-39.3-62-53.3c-98-62-119.3-98.7-208.7-182c-62-58-175.3-184.7-175.3-184.7c-44.7-58-2-215.3-2-228.7s-18-35.3-35.3-62s-48.7-40-102-44.7s-98,58-151.3,84.7s-182,128.7-213.3,133.3c-31.3,4.7-8.7-48.7-8.7-48.7s-22-133.3-26.7-151.3c-4.7-18-75.3-62-124.7-75.3s-40-44.7-66.7-53.3c-26.7-8.7-124.7-93.3-186.7-106.7s-71.3,40-106.7,88.7c-35.3,48.7-102,93.3-160,120s-75.3,113.3-80,144.7c-4.7,31.3-128.7,11.3-178,11.3c-48.7,0-133.3,168.7-142,226.7s-88.7,115.3-128.7,138c-40,22-40,168.7-35.3,200c4.7,31.3-40,115.3-66.7,146.7c-26.7,31.3,98,80,120,102c22,22-200,231.3-235.3,258s102,106.7,102,106.7c37.3,0,3.3,230,8.7,271.3c8.7,66.7-4.7,146.7,22,178s48.7,71.3,106.7,93.3s133.3,58,200,115.3c66.7,58,133.3,160,244.7,204.7c111.3,44.7,240,58,324.7,44.7c84.7-13.3,168.7-62,253.3-26.7c84.7,35.3,155.3,102,284.7,275.3c50,67.3,98,195.3,120,298c20.7,96,14,153.3-12.7,230c0,0,61.3-96.7,96.7-100.7c35.3-4.7,75.3-26.7,93.3-35.3c18-8.7,102,11.3,138-6.7c35.3-18,133.3-95.3,226.7-211.3c93.3-115.3,155.3-193.3,271.3-180c0,0,102,11.3,138,38c53.3,40,98,106.7,106.7,120c8.7,13.3,58,80,58,80s35.3-8.7,48.7-22s13.3-13.3,13.3-13.3s0-108.7,13.3-135.3s75.3-38,88.7-55.3s22-84.7,62-102c40-18,58-26.7,58-26.7s8.7-80,22-106.7s16.7-69.3,16.7-69.3c-0.7,0-0.7-0.7-1.3-0.7c12.7,8,20,12.7,20,12.7c40-36.7,102-31.3,102-31.3s18-40,62-58c44.7-18,91.3-28.7,91.3-28.7s-11.3-108.7,55.3-153.3c52.7-35.3,111.3-31.3,111.3-31.3s31.3-8.7,80-22c48.7-13.3,62-44.7,62-84.7s-8.7-84.7,22-111.3c31.3-26.7,22-75.3,22-75.3s-98-18-106.7-84.7c-4-32,22-106.7,62-111.3s84.7-18,84.7-18s48.7-66.7,75.3-75.3s93.3-18,106.7-18s62-62,84.7-62c22,0,62,0,62,0l53.3-26.7c0,0-35.3-98-8.7-124.7s48.7-48.7,98-62c48.7-13.3,48.7-13.3,48.7-13.3s8.7-66.7,44.7-93.3c35.3-26.7,93.3-18,111.3-26.7s71.3-53.3,71.3-53.3s-67.3-60-53.3-120c22-93.3,111.3-115.3,111.3-115.3s30-75.3,58-98c48.7-40,120-35.3,142-44.7c22-8.7,53.3-53.3,93.3-75.3L28986,5720z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,16,,དེ་ནས་གྲོང་ཁྱེར་གྱི་ནང་དུ་ཚུར་ཕེབས་པ་ན།,"As he was traversing the city in order to return to the palace,",,,ཡང་ཕྱོགས་ཇི་ལྟར་འོས་པ་ཞིག་ཏུ། ཁང་བཟང་གཅིག་དང་ཉེ་བ་ནས། བྱང་ཆུབ་སེམས་དཔའ་ཤིང་རྟ་ལ་ཞུགས་ནས་འབྱོན་པ་དང་།  ཁང་བཟང་གི་སྐར་ཁུང་ནས་རི་དྭགས་སྐྱེས་མ་ལ་ལྟ་ཞིང་འདུག་པ་ལ།   བྱང་ཆུབ་སེམས་དཔའ་མུ་ཏིག་འཕྲེང་བ་འཕངས་པ། དེའི་མགུལ་དུ་མཁྲིལ་བ་དང་། ཁང་བཟང་མཆོག་ཏུ་རི་དྭགས་སྐྱེས་འཁོར་བཅས་ཁབ་ཏུ་བཞེས་པའི་བཀོད་པ་དང་། བཙུན་མོའི་འཁོར་ཚོགས་བསྟན་པའི་སྐོར་རོ། །,"Again, near a mansion, the Buddha rides in a carriage.  Mṛgajā (ri dwags skyes ma) sees the Buddha from a window at the mansion. The Buddha throws his pearl rosary which lands around her neck. In a mansion, the Buddha takes Mṛgajā as his bride.",N/A,,
A,16,,ཤཱཀྱ་དུས་ལེགས་ཀྱི་བུ་མོ་རི་དྭགས་སྐྱེས་ཞེས་བྱ་བ་བུད་མེད་མཆོག་ཞིག་དཀར་ཁུང་ནས་ལྟ་ཞིང་འདུག་པས་བྱང་ཆུབ་སེམས་དཔའ་མཐོང་སྟེ།,"the Bodhisattva caught sight of the daughter of Kalasadhu (Dus legs),  a remarkable woman named Mrga-ja (Ri dwags skyes), who was gazing at him from her window.",,,,,7b.1,,
A,16,,ཀྱེ་མ་འདི་ཡི་ཡུམ་བདེ་ཞིང་།,"She said: ""O, a Miracle! This man's mother is lucky indeed, and fortunate, his father.",,,,,7b.2,,
A,16,,"།ཀྱེ་མ་གང་གི་ཁྱིམ་ཐབས་གྱུར། །བུད་མེད་དེ་ཡང་མྱ་ངན་འདས།།ཞེས་སྨྲས་སོ།","I call him a Miracle, for the one who marries him will rise beyond suffering.""",,,,,7b.2,,
A,16,,།བྱང་ཆུབ་སེམས་་དཔའ་ནི་ཞི་བ་མྱང་འདས་ཀྱི་ཚིག་དེ་གསན་པས་དགྱེས་ཏེ།,The Bodhisattva's heart brimmed over with joy on hearing the words “will rise beyond suffering.”,,,,,7b.2-3,,
A,16,,མུ་ཏིག་གི་ཕྲེང་བ་དེ་ལ་འཕངས་པ་དཀར་ཁུང་ནས་སོང་སྟེ་,He flung his pearl necklace towards the young woman. The ornament floated through the open window,,,,,7b.3,,
A,16,,དེའི་མགུལ་དུ་འཁྲིས་སོ།,and fastened itself round Mrga-ja's neck.,,,,,7b.3,,
A,16,,།དེ་སྐྱེ་བོའི་ཚོགས་ཀྱིས་མཐོང་སྟེ་,Siddhartha's companions saw the occurrence,,,,,7b.3,,
A,16,,རྒྱལ་པོ་ལ་ཞུས་པས་,"and recounted it to his father,",,,,,7b.3-4,,
A,16,,རི་དྭགས་སྐྱེས་འཁོར་ཉི་ཁྲི་དང་བཅས་པ་བྱང་ཆུབ་སེམས་དཔའི་བཙུན་མོར་བླངས་ཏེ།,who invited Mrga-ja and her twenty thousand ladies-in-waiting to marry the prince.,,,,,7b.4,,
A,16,,མདོར་ན་བཙུན་མོའི་མཆོག་གསུམ་ལ་འཁོར་ཉི་ཁྲི་ཉི་ཁྲི་སྟེ་བཙུན་མོ་དྲུག་ཁྲིའོ།,"Thus Siddhartha found himself surrounded by sixty thousand wives: three principal queens, each possessing twenty thousand followers.",,,,,7b.4,,
A,16,svg1,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M28990,5733.3c-40,22-71.3,66.7-93.3,75.3c-22,8.7-93.3,4.7-142,44.7c-28,22.7-58,98-58,98s-88.7,22-111.3,115.3c-14,60,53.3,120,53.3,120s-53.3,44.7-71.3,53.3c-18,8.7-75.3,0-111.3,26.7c-35.3,26.7-44.7,93.3-44.7,93.3s0,0-48.7,13.3c-48.7,13.3-71.3,35.3-98,62s8.7,124.7,8.7,124.7l-53.3,26.7c0,0-40,0-62,0s-71.3,62-84.7,62s-80,8.7-106.7,18s-75.3,75.3-75.3,75.3s-44.7,13.3-84.7,18s-66.7,79.3-62,111.3c8.7,66.7,106.7,84.7,106.7,84.7s8.7,48.7-22,75.3c-31.3,26.7-22,71.3-22,111.3s-13.3,71.3-62,84.7s-80,22-80,22s-58-4-111.3,31.3c-66.7,44.7-55.3,153.3-55.3,153.3s-46.7,11.3-91.3,28.7c-44.7,18-62,58-62,58s-62.7-5.3-102,31.3c0,0-328.7-204.7-413.3-275.3c-35.3-29.3-146.7-98-231.3-142c-73.3-38.7-316.7-76.7-364.7-102c-84.7-44.7-222-111.3-240-151.3c-18-40,18-426.7,48.7-440c31.3-13.3,106.7-31.3,128.7-48.7c22-18,18-66.7,66.7-111.3s120-26.7,155.3-75.3c35.3-48.7,80-84.7,128.7-75.3c48.7,8.7,146.7,44.7,173.3,31.3s231.3,13.3,240-75.3c8.7-88.7-111.3-178-115.3-226.7c-4.7-48.7-62-146.7,4.7-213.3s128.7-102,178-133.3c48.7-31.3,84.7-88.7,111.3-133.3c26.7-44.7,77.3-73.3,106.7-98c41.3-35.3,117.3-95.3,142-75.3c21.3,16.7,58.7,26.7,106.7,22c48.7-4.7,72-15.3,102-48.7c35.3-40,62-71.3,93.3-106.7c27.3-31.3,93.3-84.7,142-84.7c48.7,0,102,31.3,124.7,48.7c22,18,75.3,58,106.7,80c31.3,22,35.3,35.3,80,75.3c36.7,33.3,62,40,84.7,58c22,18,49.3,18,80,8.7c44.7-13.3,74.7-38.7,93.3-66.7c35.3-53.3,22-48.7,88.7-66.7c64.7-17.3,168.7,22,213.3,44.7c44.7,22,162.7,123.3,195.3,182c46,82.7,132.7,199.3,111.3,368.7' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,16,svg2,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M27224.7,7539.3c-70.7-44.7-322-202.7-394.7-264c-35.3-29.3-146.7-98-231.3-142c-73.3-38.7-316.7-76.7-364.7-102c-84.7-44.7-222-111.3-240-151.3c-18-40,18-426.7,48.7-440c31.3-13.3,106.7-31.3,128.7-48.7c22-18,18-66.7,66.7-111.3c0,0,26.7-31.3,75.3-40c48.7-8.7,44.7,4.7,71.3-22s44.7-62,71.3-71.3s40-31.3,40-31.3s-40.7-39.3-62-53.3c-98-62-119.3-98.7-208.7-182c-62-58-175.3-184.7-175.3-184.7c-44.7-58-2-215.3-2-228.7s-18-35.3-35.3-62s-48.7-40-102-44.7s-98,58-151.3,84.7s-182,128.7-213.3,133.3c-31.3,4.7-8.7-48.7-8.7-48.7s-22-133.3-26.7-151.3c-4.7-18-75.3-62-124.7-75.3s-40-44.7-66.7-53.3c-26.7-8.7-124.7-93.3-186.7-106.7s-71.3,40-106.7,88.7c-35.3,48.7-102,93.3-160,120s-75.3,113.3-80,144.7c-4.7,31.3-128.7,11.3-178,11.3c-48.7,0-133.3,168.7-142,226.7s-88.7,115.3-128.7,138c-40,22-40,168.7-35.3,200c4.7,31.3-40,115.3-66.7,146.7c-26.7,31.3,98,80,120,102c22,22-200,231.3-235.3,258s102,106.7,102,106.7c37.3,0,3.3,230,8.7,271.3c8.7,66.7-4.7,146.7,22,178s48.7,71.3,106.7,93.3s133.3,58,200,115.3c66.7,58,133.3,160,244.7,204.7c111.3,44.7,240,58,324.7,44.7c84.7-13.3,168.7-62,253.3-26.7c84.7,35.3,155.3,102,284.7,275.3c50,67.3,98,195.3,120,298c20.7,96,14,153.3-12.7,230c0,0,61.3-96.7,96.7-100.7c35.3-4.7,75.3-26.7,93.3-35.3c18-8.7,102,11.3,138-6.7c35.3-18,133.3-95.3,226.7-211.3s155.3-193.3,271.3-180c0,0,102,11.3,138,38c53.3,40,98,106.7,106.7,120c8.7,13.3,58,80,58,80s35.3-8.7,48.7-22s13.3-13.3,13.3-13.3s0-108.7,13.3-135.3s75.3-38,88.7-55.3c13.3-18,22-84.7,62-102c40-18,58-26.7,58-26.7s8.7-80,22-106.7S27224.7,7539.3,27224.7,7539.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
