Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,13,,བཅུ་གསུམ་པ་ས་འཚོ་མ་བཙུན་མོར་བཞེས་པ་ནི།,Chapter 13: Gopa becomes queen,,,Vol. Ga (3) p. 15.,,"Vinayavastu (Saṃghabhedavastu): vol. Ga, 291a.6-291b.3",,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M29763.3,5373.3c0,0-40-4.7-80,8.7s-18,26.7-31.3,26.7s-58,13.3-84.7,31.3s-44.7,66.7-44.7,66.7s-18,0-53.3,4.7c-35.3,4.7-66.7,48.7-88.7,53.3c-22,4.7-58,13.3-88.7,35.3c-31.3,22-44.7,84.7-44.7,84.7s-22,0-53.3,13.3s-71.3,31.3-93.3,31.3s-71.3-18-111.3,4.7s-71.3,66.7-93.3,75.3c-22,8.7-93.3,4.7-142,44.7c-28,22.7-58,98-58,98s-88.7,22-111.3,115.3c-14,60,53.3,120,53.3,120s-53.3,44.7-71.3,53.3s-75.3,0-111.3,26.7c-35.3,26.7-44.7,93.3-44.7,93.3s0,0-48.7,13.3c-48.7,13.3-71.3,35.3-98,62s8.7,124.7,8.7,124.7l-53.3,26.7c0,0-40,0-62,0c-22,0-71.3,62-84.7,62s-80,8.7-106.7,18s-75.3,75.3-75.3,75.3s-44.7,13.3-84.7,18s-66.7,79.3-62,111.3c8.7,66.7,106.7,84.7,106.7,84.7s8.7,48.7-22,75.3c-31.3,26.7-22,71.3-22,111.3s-13.3,71.3-62,84.7c-48.7,13.3-80,22-80,22s-58-4-111.3,31.3c-66.7,44.7-55.3,153.3-55.3,153.3s-46.7,11.3-91.3,28.7c-44.7,18-62,58-62,58s-62.7-5.3-102,31.3c-58,53.3-48.7,146.7-58,164.7c-8.7,18-30-2-66.7,31.3c-44.7,40-53.3,98-53.3,98s-53.3,13.3-88.7,58c-24,30,0,124.7,0,124.7c20.7,26-29.3,10.7-71.3,45.3c-49.3-36.7-75.3-98.7-128.7-160.7c-50.7-59.3-128.7-84.7-231.3-75.3c-102,8.7-195.3,155.3-248.7,213.3c-53.3,58-120,133.3-173.3,160s-146.7,18-155.3,22c-102,50.7-90.7,4.7-200,151.3c18.7,24.7-126,142.7-93.3,195.3c22,35.3,102,48.7,40,93.3c-62,44.7-124.7,93.3-111.3,160s169.3,131.3,124.7,191.3c-40,53.3-155.3,128.7-155.3,128.7l-4,14c0-2,0-6.7,0-5.3c-4.7,31.3-106.7,62-106.7,111.3s48.7,204.7,84.7,266.7s178,195.3,151.3,280s4.7,88.7-71.3,195.3c-29.3,41.3-93.3,62-160,124.7c-34,32-102.7,95.3-137.3,111.3l4404-4.7l-13.3-1155.3L29763.3,5373.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#c9f5c1' stroke='#c9f5c1' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,13,,དེ་ནས་ཤཱཀྱ་གཤོན་ནུ་རྣམས་ཤིང་རྟར་ཞུགས་ནས་སེར་སྐྱ་གཞིར་འགྲོ་བ་ན།,The Shakya youths jumped into their carts and wagons to get back to Kapilavastu,,,ཡང་ཁང་བཟང་ཞིག་གི་སྟེང་ནས།  ས་མཚོ་མས་བྱང་ཆུབ་སེམས་དཔའ་ལ་ལྟ་ཞིང། རྐང་པ་ཡ་གཅིག་གི་མཐེ་བོའི་ཤུགས་ཀྱི་ཐོག་གི་མཐིལ་བརྡོལ་བ་དང་།  ཤིང་རྟའི་སྟེང་ནས་བྱང་ཆུབ་སེམས་དཔས་ཀྱང་།  ས་མཆོ་མ་ལ་གཟིགས་ཤིང་།  ཕྱག་ན་ལྕགས་ཀྱི་མདའ་དུམ་བུར་སོང་བ་དང་། ཁང་བཟང་མཆོག་ཏུ་ས་མཚོ་འཁོར་བཅས་ཁབ་ཏུ་བཞེས་པ་དང་།,"At the roof of a mansion, Gopā (sa mtsho ma) sees the Buddha. With the big toe of her one foot, she causes a hole on the roof. The Buddha, in a carriage, sees Gopā when the iron arrow breaks into pieces in his hand.  In a mansion, he takes Gopā as his bride.",291a.6,,
A,13,,"ལྟས་མཁན་རྣམས་ཀྱིས་ད་སྟེ་གཞོན་ནུ་དོན་གྲུབ་ལོ་བདུན་ནས་རབ་ཏུ་མ་བྱུང་ན་འཁོར་ལོས་བསྒྱུར་བར་འགྱུར་རོ།།ཞེས་ལུང་སྟོན་ནོ།","and the oracle-priests again predicted: “If in these coming seven years Siddhartha does not renounce the secular way of life, he will become a universal monarch.”",,,,,291a.6-7,,
A,13,,།དེའི་ཚེ་ཤཱཀྱ་དྲིལ་བུ་སྒྲའི་བུ་མོ་ས་འཚོ་མ་ཞེས་བྱ་བ་བུད་མེད་རིན་པོ་ཆེ་ཞིག་སྟེང་གི་ཁང་བཟང་གི་གཞི་ནས་ལྟ་བཞིན་དུ་འདུག་པ་གཟིགས་ནས།,"One day, Gopa (Sa 'tsho ma), a pearl among women, daughter to *Shakya Ghantaghosha (Shakya dril bu sgra), was looking from her balcony at the road below.",,,,,291a.7,,
A,13,,བྱང་ཆུབ་སེམས་དཔའི་ཞབས་ཀྱི་མཐེ་བོས་ཤིང་རྟ་མནན་ཏེ་,The Bodhisattva noticed her standing thus. With his big toe he braked and brought his carriage to an abrupt halt.,,,,,291a.7,,
A,13,,རྟ་ལ་སོགས་པ་འདྲེན་བྱེད་རྣམས་ཀྱིས་འདྲེན་མ་ཐུབ་བར་ཤིང་རྟ་མི་གཡོ་བར་འདུག་གོ,The horses and coachman might well make strenuous efforts to keep the carriage in motion—the vehicle did not budge one whit.,,,,,291a.7-291b.1,,"The Vinayavastu passage does not mention the ""strenous efforts"" of the horses and coachman but just says that the vehicle wouldn't budge: ""shing rta mnan nas mi g.yo bar gyur pa""  "
A,13,,།བྱང་ཆུབ་སེམས་དཔའ་ས་མཚོ་མ་ལ་གཟིགས་ཤིང་རྟོག་པ་ན་ཕྱག་ན་བསྣམས་པའི་ལྕགས་མདའ་ཕྱེ་མར་མཛད་དོ།,"Rapt in the sight of the young woman, the Bodhisattva crushed a lead arrow that he had in his hand to powder.",,,,,291b.1,,
A,13,,།དེས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་ལ་ལྟ་ཞིང་རྟོག་པས་ཡེངས་མ་ཐབས་སུ་,"Gopa, on her side was also unable to take her eyes off the prince.",,,,,291b.1-2,,
A,13,,རྐང་པའི་མཐེ་བོས་ཁང་བཟང་གི་ཐོག་མཐིལ་ལ་བསྣུན་པས་ཐོག་བརྡོལ་བར་གྱུར་ཏོ།,Her foot pressed so hard against the balcony floor that she left an imprint of it.,,,,,291b.2,,
A,13,,།སྐྱེ་བོའི་ཚོགས་ཆེན་པོས་དེ་མཐོང་བས།  བུད་མེད་འདིས་ནི་གཤོན་ནུའི་ཐུགས་དང་བསྟན་པར་ནུས་སོ།,"“Now here's a woman who would get along very well with the prince,” the people again murmured.",,,,,291b.2-3,,
A,13,,ཞེས་ཟེར་བའི་གཏམ་དེ་རྒྱལ་པོ་ཟས་གཙང་གིས་ཐོས་ནས་,"And the rumor reached King Shuddhodana,",,,,,291b.3,,
A,13,,ལྷ་མོ་ས་འཚོ་མ་འཁོར་ཉི་ཁྲི་དང་བཅས་པ་བྱང་ཆུབ་སེམས་དཔའི་བཙུན་མོར་བླངས་སོ།,who invited Gopa and her twenty thousand ladies in waiting to the palace so that she could be wedded to Siddhartha.,,,,,291b.3,,
A,13,svg1,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M25328,10249.3c35.3-16.7,103.3-80,137.3-111.3c66.7-62,130.7-83.3,160-124.7c75.3-106.7,44.7-111.3,71.3-195.3c26.7-84.7-115.3-218-151.3-280c-35.3-62-84.7-218-84.7-266.7c0-48.7,102-80,106.7-111.3c0-2,0,8.7,0,6l4.7-14.7c0,0,115.3-75.3,155.3-128.7c44.7-59.3-111.3-124.7-124.7-191.3s48.7-115.3,111.3-160c62-44.7-18-58-40-93.3c-32.7-52.7,112-170.7,93.3-195.3c109.3-146.7,98-100,200-151.3c8.7-4.7,102,4.7,155.3-22s120-102,173.3-160c53.3-58,146.7-204.7,248.7-213.3c102-8.7,180.7,16.7,231.3,75.3c53.3,62,106.7,160,160,186.7s102,106.7,142,128.7s75.3,124.7,124.7,115.3c48.7-8.7,105.3-133.3,151.3-151.3c80-31.3,186.7,35.3,226.7,71.3c40,35.3,191.3,196.7,222,262c44.7,93.3,191.3,151.3,324.7,173.3c133.3,22,186.7,26.7,324.7,13.3s244.7-4.7,360,44.7c115.3,48.7,351.3,138,382,164.7c31.3,26.7,36.7,40.7,18,58c-48.7,44.7-62,98-53.3,124.7s142,18,218,8.7c75.3-8.7,342-22,342-22l13.3,1155.3L25328,10249.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,13,svg2,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M29719.3,9088.7c0,0-266.7,13.3-342,22c-75.3,8.7-208.7,18-218-8.7s4.7-80,53.3-124.7c19.3-17.3,13.3-31.3-18-58c-31.3-26.7-266.7-115.3-382-164.7c-115.3-48.7-222-58-360-44.7s-191.3,8.7-324.7-13.3c-133.3-22-280-80-324.7-173.3c-31.3-65.3-182-226.7-222-262c-40-35.3-146.7-102-226.7-71.3c-46,18-102,142-151.3,151.3c-48.7,8.7-84.7-93.3-124.7-115.3s-96.7-90-142-128.7c-62-53.3,60.7-45.3,40-71.3c0,0-24-94.7,0-124.7c35.3-44.7,88.7-58,88.7-58s8.7-58,53.3-98c36.7-33.3,58-13.3,66.7-31.3c8.7-18,0-111.3,58-164.7c40-36.7,102-31.3,102-31.3s18-40,62-58c44.7-18,91.3-28.7,91.3-28.7s-11.3-108.7,55.3-153.3c52.7-35.3,111.3-31.3,111.3-31.3s31.3-8.7,80-22s62-44.7,62-84.7s-8.7-84.7,22-111.3c31.3-26.7,22-75.3,22-75.3s-98-18-106.7-84.7c-4-32,22-106.7,62-111.3s84.7-18,84.7-18s48.7-66.7,75.3-75.3s93.3-18,106.7-18s62-62,84.7-62s62,0,62,0l53.3-26.7c0,0-35.3-98-8.7-124.7s48.7-48.7,98-62c48.7-13.3,48.7-13.3,48.7-13.3s8.7-66.7,44.7-93.3c35.3-26.7,93.3-18,111.3-26.7c18-8.7,71.3-53.3,71.3-53.3s-67.3-60-53.3-120c22-93.3,111.3-115.3,111.3-115.3s30-75.3,58-98c48.7-40,120-35.3,142-44.7c22-8.7,53.3-53.3,93.3-75.3s88.7-4.7,111.3-4.7c22,0,62-18,93.3-31.3c31.3-13.3,53.3-13.3,53.3-13.3s13.3-62,44.7-84.7s66.7-31.3,88.7-35.3c22-4.7,53.3-48.7,88.7-53.3c35.3-4.7,53.3-4.7,53.3-4.7s18-48.7,44.7-66.7s71.3-31.3,84.7-31.3s-8.7-13.3,31.3-26.7s80-8.7,80-8.7L29719.3,9088.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
