old_canvas_id,new_canvas_id
http://manifests.ydc2.yale.edu/canvas/KIYN-02-18-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17421
http://manifests.ydc2.yale.edu/canvas/KIYN-02-19-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17426
http://manifests.ydc2.yale.edu/canvas/KIYN-02-20-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17431
http://manifests.ydc2.yale.edu/canvas/KIYN-02-21-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17436
http://manifests.ydc2.yale.edu/canvas/KIYN-02-22-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17441
http://manifests.ydc2.yale.edu/canvas/KIYN-02-23-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17446
http://manifests.ydc2.yale.edu/canvas/KIYN-02-24-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17451
http://manifests.ydc2.yale.edu/canvas/KIYN-02-29-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17476
http://manifests.ydc2.yale.edu/canvas/KIYN-02-30-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17481
http://manifests.ydc2.yale.edu/canvas/KIYN-02-32-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17491
http://manifests.ydc2.yale.edu/canvas/KIYN-02-34-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17501
http://manifests.ydc2.yale.edu/canvas/KIYN-02-35-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17506
http://manifests.ydc2.yale.edu/canvas/KIYN-02-36-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17511
http://manifests.ydc2.yale.edu/canvas/KIYN-02-37-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17516
http://manifests.ydc2.yale.edu/canvas/KIYN-02-38-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17521
http://manifests.ydc2.yale.edu/canvas/KIYN-02-39-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17526
http://manifests.ydc2.yale.edu/canvas/KIYN-02-42-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17541
http://manifests.ydc2.yale.edu/canvas/KIYN-02-43-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17546
http://manifests.ydc2.yale.edu/canvas/KIYN-02-44-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17551
http://manifests.ydc2.yale.edu/canvas/KIYN-02-48-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17571
http://manifests.ydc2.yale.edu/canvas/KIYN-02-49-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17576
http://manifests.ydc2.yale.edu/canvas/KIYN-02-50-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17581
http://manifests.ydc2.yale.edu/canvas/KIYN-03-03-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17601
http://manifests.ydc2.yale.edu/canvas/KIYN-03-08-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17626
http://manifests.ydc2.yale.edu/canvas/KIYN-03-10-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17636
http://manifests.ydc2.yale.edu/canvas/KIYN-03-11-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17641
http://manifests.ydc2.yale.edu/canvas/KIYN-03-13-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17651
http://manifests.ydc2.yale.edu/canvas/KIYN-03-15-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17661
http://manifests.ydc2.yale.edu/canvas/KIYN-03-19-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17681
http://manifests.ydc2.yale.edu/canvas/KIYN-03-22-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17696
http://manifests.ydc2.yale.edu/canvas/KIYN-03-25-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17711
http://manifests.ydc2.yale.edu/canvas/KIYN-03-27-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17721
http://manifests.ydc2.yale.edu/canvas/KIYN-03-29-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17731
http://manifests.ydc2.yale.edu/canvas/KIYN-03-32-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17746
http://manifests.ydc2.yale.edu/canvas/KIYN-03-33-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17751
http://manifests.ydc2.yale.edu/canvas/KIYN-03-35-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17761
http://manifests.ydc2.yale.edu/canvas/KIYN-03-36-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17766
http://manifests.ydc2.yale.edu/canvas/KIYN-03-37-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17771
http://manifests.ydc2.yale.edu/canvas/KIYN-03-38-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17776
http://manifests.ydc2.yale.edu/canvas/KIYN-03-40-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17786
http://manifests.ydc2.yale.edu/canvas/KIYN-03-41-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17791
http://manifests.ydc2.yale.edu/canvas/KIYN-03-43-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17801
http://manifests.ydc2.yale.edu/canvas/KIYN-03-44-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17806
http://manifests.ydc2.yale.edu/canvas/KIYN-03-46-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17816
http://manifests.ydc2.yale.edu/canvas/KIYN-03-49-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17831
http://manifests.ydc2.yale.edu/canvas/KIYN-04-07-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17871
http://manifests.ydc2.yale.edu/canvas/KIYN-04-08-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17876
http://manifests.ydc2.yale.edu/canvas/KIYN-04-09-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17881
http://manifests.ydc2.yale.edu/canvas/KIYN-04-10-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17886
http://manifests.ydc2.yale.edu/canvas/KIYN-04-11-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17891
http://manifests.ydc2.yale.edu/canvas/KIYN-04-12-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17896
http://manifests.ydc2.yale.edu/canvas/KIYN-04-13-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17901
http://manifests.ydc2.yale.edu/canvas/KIYN-04-16-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17916
http://manifests.ydc2.yale.edu/canvas/KIYN-04-17-tif,http://manifest.tenthousandrooms.yale.edu/node/316/canvas/17921
