Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,,,,,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,18,,ཕོ་བྲང་ན་གནས་པའི་ལྷ་རྣམས་མཆི་མ་ཕྱུང་ངོ་།,the palace's protector gods fell to weeping.,,,,,11b.6-7,,
A,18,,།དེ་ནས་སྒོ་གཞན་ནས་བྱོན་ན་གཞོན་ནུས་ཐ་མའི་དུས་ན་ཡང་ང་ལ་མ་བལྟས་སོ་སྙམ་ཡབ་རྒྱལ་པོ་ཐུགས་ཆད་པར་འགྱུར་དགོངས་ཏེ།,"Fearing that his father's heart would break if he were to leave the city by one of its other gateways and without a last farewell,",,,,,12a.1-2,,
A,18,,ཤར་སྒོའི་ཕྱོགས་རྒྱལ་པོ་ཟས་གཙང་མའི་སར་ཕེབ་སོ།,the Bodhisattva proceeded towards the eastern portal.,,,,,12a.2,,
A,18,,།དེར་ཟས་གཙང་མནལ་ཐུག་པོས་ནོན་ཏེ་མ་རིག་གོ,But Shuddhodana (Zas gtsang) was locked in sleep.,,,,,12a.2-3,,
A,18,,།བྱང་ཆུབ་སེམས་དཔས་ཡབ་ལ་འདི་སྐད་ཅེས།  གུས་པ་མ་མཆིས་པ་མ་ལགས་ཏེ་,"“Father,” said the Bodhisattva, “I have no wish to manifest the least disrespect toward you.",,,,,12a.3,,
A,18,,འཇིག་རྟེན་རྣམས་སྡུག་བསྔལ་ལས་ཡོངས་སུ་སྒྲོལ་བའི་སླད་དུ་ལགས་སོ།  །ཞེས་གསུངས་སོ།,"If I am leaving, it is so that this world's beings may, once and for all, be freed from the tortures of suffering.”",,,,,12a.3-4,,
A,18,,།དེ་ནས་དེ་ལྟ་བུའི་ཚུལ་མིང་ཆེན་གྱིས་མཐོང་སྟེ།,"The watchman, Shakya Mahanaman (Ming chen) arrived just in time to hear these words.",,,,,12a.4,,
A,18,,མཚི་མ་དང་བཅས་པ་གཤོན་ནུ་འདི་ནི་རིགས་པ་མ་ལགས་སོ་ཞུས་སོ།,"“Prince,” he sobbed out, “You cannot be leaving us!”",,,,,12a.5,,
A,18,,།བཀའ་སྩལ་པ།  མིང་ཆེན་ངས་བསྐལ་པ་གྲངས་མེད་གསུམ་དུ་དཀའ་བ་དུ་མས་སེམས་ཅན་གྱི་དོན་དུ་བྱང་ཆུབ་བསྒྲུབས་ན།,"“Shakya Mahanaman,” replied the Bodhisattva, “If, over the course of three immeasurable kalpas, I have had the strength to endure unbelievable hardships for the sake of achieving perfect Awakening which will let me help all beings—",,,,,12a.5,,
A,18,,ད་ནི་ང་ཅིའི་ཕྱིར་ཁྱིམ་འདུག,"why, today, would I remain at home?",,,,,12a.5,,
A,18,,འདི་ནི་ངེས་ཏེ་དཀའ་ཐུབ་ཀྱི་ཚལ་དུ་འགྲོའོ།,"I am off to the Ascetics' Forest, that's a certainty!”",,,,,12a.6,,
A,18,,།དེར་བཀའ་དྲག་པོ་སྩལ་བས།  མིང་ཆེན་གྱིས་སླར་ཞུ་བར་མ་སྤོབས་ཏེ།,He expressed himself so resolutely that Shakya Mahanaman did not have the effrontery to repeat his plea openly.,,,,,12a.6,,
A,18,,དེང་དུ་རྒྱལ་པོ་ཟས་གཙང་དང་།  ཤཱཀྱ་དག་ནི་ཐམས་ཅད་ཀྱིས།  །ཡང་དང་ཡང་དུ་བསམས་པ་ཡི།,"Instead, he cried out: ""King Shuddhodana's and all the Shakyas' long-cherished hopes and plans ",,,,,12a.6,,
A,18,,།རེ་བ་འབྲས་བུ་མེད་པར་གྱུར།,"Have, tonight, gone up in smoke,""",,,,,12a.6,,
A,18,,།ཞེས་སོགས་སྨྲེ་སྔགས་འདོན་བཞིན་གྲགས་འཛིན་མ་ལ་སོགས་གཉིད་ལས་བསླང་བར་བརྩམས་ཀྱང་གཉིད་མ་སད་ཅིང་།,"The head guardsman cried thus, as he tried in vain to shake Yashodhara and the other queens out of their enchanted stillness.",,,,,12b.1,,
A,18,,རྒྱལ་པོ་ཟས་གཙང་ལ་སྦྲན་ཀྱང་མནལ་མ་སད་ལ།,"Although he called to king Shuddhodana, the king did not awaken.",,,,,12b.3-4,,
A,18,,ཕྱོགས་ཐམས་ཅད་དུ་ཁུས་བཏབ་ཀྱང་འབྲོག་དགོན་པར་འོ་དོད་བོས་པ་བཞིན་དུ་སུའང་གཉིད་མ་སད་ཅིང་འགའ་ཡང་ལན་སྟེར་བ་མེད་དོ།,"He ran from pillar to post, screaming at the top of his voice. But he might as well have bayed at the moon: no one stirred, not a single voice replied.",,,,,12b.2-4,,
A,18,,།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་ཆིབས་ཀྱི་རྐང་ལག་བཞི་ནས་ལྷའི་གྱད་བཞིས་བཏེག་ནས།,"Lifting up the horse's hooves, the four gods took the Bodhisattva across the sky.",,,,,13a.1-2,,
A,18,,གཟུགས་ཁམས་ཀྱི་ལྷ་རྣམས་ནི་སྤྱོད་ལམ་དུལ་བས་གཡས་ཕྱོགས་ནས་འགྲོ།,"Respectfully shrinking away from the prince on the right, the gods of the world of Form took their leave;",,,,,12b.5,,
A,18,,འདོད་ཁམས་ཀྱི་ལྷ་རྣམས་ནི་གཡོན་ཕྱོགས་ནས་མཆོད་རྫས་དུ་མ་ཐོགས་ནས་འགྲོ།,"while on the left, respectfully shrinking away, the gods of the world of Desire, loaded with offerings, took their leave,",,,,,12b.5,,
A,18,,ཚངས་པ་དང་བརྒྱ་བྱིན་ཉིད་ཆིབས་ཀྱི་མདུན་ནས་སྤྱོད་ལམ་རང་བཞིན་བས་འགྲོ་ཞིང་།,"and appropriately, Indra and Brahma went in front of Kanthaka.",,,,,12b.6,,
A,18,,གཞན་ཡང་ནམ་མཁའི་མཐོངས་ནས་ལྷ་རྣམས་ཀྱིས་རོལ་མོ་དཀྲོལ་ཞིང་།,"From the height of the firmament, gods and goddesses, loaded with heaps of offerings, descended.",,,,,12b.6,,
A,18,,མེ་ཏོག་གི་ཆར་འབེབས་པ་ལ་སོགས་པ་མཆོད་པ་སྣ་ཚོགས་པས་མཆོད་དོ།,"A shower of flowers sweetened the air, which trembled to the sound of cymbals.",,,,,12b.6-7,,
A,18,,།དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་ལྷ་རྣམས་ལ་ལེགས་སོ་སྩལ་ཞིང་།,"“This is perfect,” said the Bodhisattva, thanking the gods.",,,,,13a.3-4,,
A,18,,ལྷ་རྣམས་ཀྱིས་ཀྱང་།  བྱང་ཆུབ་སེམས་དཔའ་ལ་ཁྱེད་ཀྱིས་ནམ་བླ་ན་མེད་པའི་བྱང་ཆུབ་བརྙེས་པ་དེའི་ཚེ་བདག་ཅག་ལའང་དགོངས་ཤིག་ཅེས་ཞུས་ཤིང་།,"But they lingered, begging him to remember them upon attaining the unsurpassable awakening.",,,,,13a.5,,
A,18,,བྱང་ཆུབ་སེམས་དཔས་ཀྱང་ཞལ་གྱིས་བཞེས་སོ།,He promised he would.,,,,,13a.5,,
A,18,svg1,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M22283.3,2828.7l-331.3,122c0,0-13.3-124.7,0-155.3c13.3-31.3,58-60,78-88.7s8.7-62,55.3-88.7c21.3-12,46.7-22,55.3-31.3c8.7-8.7,40-33.3,35.3-64.7c-2-14.7-44.7-33.3-38-51.3c6.7-18,35.3-51.3,55.3-55.3c20-4.7,73.3-22,82-35.3c8.7-13.3,98-102,104.7-155.3s22-108.7,62-111.3c45.3-2.7,88.7,60,113.3,88.7c24.7,28.7,51.3,86.7,71.3,86.7s40-20,42-48.7c2-28.7,26.7-86.7,11.3-102c-15.3-15.3-27.3-45.3-53.3-48.7c-35.3-4.7-20.7,18.7-86.7,0c-71.3-20-122-73.3-113.3-135.3c8.7-62,40-110,66.7-122c62-28.7,118-24,151.3-31.3c42-8.7,84.7,6.7,86.7-20s-42-42-35.3-80c6.7-38,48.7-124.7,71.3-153.3c22-28.7,90-116,135.3-118c58-2,133.3,71.3,135.3,100c2,28.7,22,82,53.3,86.7c31.3,4.7,88.7,20,104.7,48.7c15.3,28.7,26.7,58,26.7,78s-26.7,80-8.7,86.7c18,6.7,71.3-18,91.3-2s19.3,33.3,53.3,33.3c53.3,0,66.7,44.7,95.3,55.3c28.7,11.3,38-6.7,53.3,26.7c15.3,33.3,18,53.3,13.3,68.7c-4.7,15.3,0,40,0,62s-18,62-35.3,73.3s-118,44.7-142,48.7c-24.7,4.7-109.3,18-93.3,40c18,24.7,75.3,104.7,155.3,142c80,38,166.7,75.3,195.3,80c28.7,4.7,51.3,2,44.7-8.7c-6.7-11.3-26.7-38,8.7-46.7c35.3-8.7,48.7-2,84.7,13.3c35.3,15.3,66.7,13.3,73.3,26.7s42,48.7,15.3,64.7s-73.3,0-91.3,11.3c-18,11.3-73.3,8.7-84.7,13.3c-11.3,4.7-22-2-22-2l2,48.7l-73.3,2l8.7,100l42,18c0,0,15.3-38,55.3-33.3c20.7,2,28.7,44.7,28.7,64.7s-11.3,173.3-11.3,173.3s-518,0-600,0c-82,0-598,6.7-598,6.7l-226.7-11.3L22283.3,2828.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg2,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M22558,2410c0,0,4.7,119.3-109.3,130c-74,6.7-134.7-56-142.7-100c-8-46,7.3-132.7,106.7-142C22478.7,2292,22550,2330.7,22558,2410z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg3,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M22362,2224c0,0,4.7,122.7-102.7,133.3c-69.3,7.3-126.7-57.3-133.3-102.7c-7.3-47.3,7.3-136,100-145.3                C22288,2103.3,22355.3,2142.7,22362,2224z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg4,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M22206.7,2021.3c0,0,4,112.7-93.3,122.7c-62.7,6.7-114.7-52.7-121.3-94.7c-6.7-43.3,6.7-125.3,90.7-134                C22139.3,1910.7,22200,1946.7,22206.7,2021.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg5,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M22075.3,1819.3c0,0,4,112.7-93.3,122.7c-62.7,6.7-114.7-52.7-121.3-94.7c-6.7-43.3,6.7-125.3,90.7-134                C22008,1708,22069.3,1744.7,22075.3,1819.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg6,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M21953.3,1632.7c0,0,4,112.7-93.3,122.7c-62.7,6.7-114.7-52.7-121.3-94.7c-6.7-43.3,6.7-125.3,90.7-134                C21886,1521.3,21946.7,1558,21953.3,1632.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg7,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M25895.3,5360.7c-46.7,6.7-88,60-136,84c-53.3,26.7-182,128.7-213.3,133.3c-31.3,4.7-8.7-48.7-8.7-48.7s-22-133.3-26.7-151.3c-4.7-18-75.3-62-124.7-75.3s-40-44.7-66.7-53.3c-26.7-8.7-124.7-93.3-186.7-106.7s-71.3,40-106.7,88.7c-35.3,48.7-102,93.3-160,120s-75.3,113.3-80,144.7c-4.7,31.3-128.7,11.3-178,11.3c0,0-1811.3-62-1891.3-66.7s-466.7-31.3-466.7-31.3s106.7,80,106.7,111.3s0,84.7,0,84.7l-818-35.3l-8.7-80c0,0,48.7-44.7,44.7-58c-4.7-13.3-22-22-22-22l-226.7-44.7l-106.7-58l-328.7-178l-18-502l631.3-444.7c0,0,66.7,102,111.3,84.7c44.7-18,160-195.3,160-195.3l186.7-435.3c0,0,0-66.7,13.3-93.3s4.7-71.3,4.7-71.3s-71.3-48.7-75.3-84.7c-4.7-35.3,15.3-104.7,38-113.3c22-8.7,42,42,60,18c22.7-31.3,8.7-82,35.3-104.7s4.7,4.7,26.7-22c22-26.7,80-26.7,102-58s168.7-404.7,168.7-404.7l200,84.7c0,0-298,733.3-298,746.7s-128.7,373.3-142,408.7c-13.3,35.3-111.3,213.3-111.3,213.3s1284.7,58,1488.7,58s893.3,4.7,893.3,4.7s26.7,71.3,75.3,71.3c48.7,0,284.7-4.7,284.7-4.7s8.7-560,31.3-568.7c22-8.7,80-13.3,80-13.3V3666.7l-44.7-8.7l66.7-142l528.7,13.3c0,0,18,44.7,35.3,58c18,13.3,35.3,40,35.3,40l-31.3,44.7l-26.7,84.7l1075.3,288.7l58,471.3l-542,378l53.3,368.7L25895.3,5360.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg8,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M21905.3,3350.7c-2,13.3-2.7,26-1.3,36c4.7,35.3,75.3,84.7,75.3,84.7s8.7,44.7-4.7,71.3s-13.3,93.3-13.3,93.3l-186.7,435.3c0,0-115.3,178-160,195.3c-44.7,18-111.3-84.7-111.3-84.7l-698-644.7l302-151.3v-71.3l-168.7-22c0,0,93.3-18,133.3-62c40-44.7,40-44.7,40-44.7l578,4.7l138,155.3L21905.3,3350.7z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg9,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M24067.3,3083.3c0,0-15.3,38.7-70.7-8c-56-47.3-168.7-186.7-168.7-186.7s8.7-71.3,44.7-80c35.3-8.7,77.3,18,98-8.7c30.7-40,56.7-82,78.7-113.3s68-78.7,103.3-118.7c36-40.7,58-46,94.7-36.7c45.3,12,74,46,92,77.3c18,31.3,53.3,111.3,75.3,128.7c22,18,40-8.7,44.7-44.7s12-78,12-100s6-62,41.3-80s80,6.7,93.3,20s53.3,61.3,68,86.7c12,20.7,38.7,64.7,65.3,104.7s48.7,93.3,26.7,115.3s-106.7,71.3-106.7,102c0,31.3,106.7,56.7,120,101.3s-4,88.7-14.7,114.7c-16.7,40-47.3,50.7-69.3,59.3c-22,8.7-190.7,7.3-231.3,13.3c-33.3,5.3-146.7,0-182,4.7c-35.3,4.7-71.3,8.7-98-4.7s-40-53.3-40-53.3s82.7-8,111.3-42c36-44-0.7-68.7-60.7-82c-51.3-11.3-117.3,4.7-121.3,22L24067.3,3083.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
A,18,svg10,,,,,,,,,,"<svg xmlns='http://www.w3.org/2000/svg'><path xmlns='http://www.w3.org/2000/svg' d='M26316.7,2353.3l24.7-31.3c29.3-44,8.7-24.7,68.7-42c31.3-8.7,40-24.7,40-38s-26.7-102-8.7-128.7c18-26.7,35.3-44.7,48.7-71.3s40-31.3,62-44.7s58-31.3,71.3-44.7s35.3-62,71.3-71.3c18-4.7,48.7-4.7,44.7-26.7c-4.7-22-26.7-40-26.7-75.3s75.3-80,48.7-111.3c-26.7-31.3-40-33.3-75.3-28.7s-122,8.7-122,8.7s-11.3,84.7-64.7,93.3c-53.3,8.7-75.3-6.7-106.7,6.7s-128.7,0-182-26.7c-53.3-26.7-75.3-84.7-93.3-106.7c-18-22,2-64.7-15.3-144.7c0,0-11.3-55.3-68.7-68.7s-168.7-62-168.7-93.3c0-31.3,40-66.7,4.7-98c-35.3-31.3-115.3-75.3-102-93.3c13.3-18,102-22,151.3,8.7c48.7,31.3,71.3,48.7,71.3,71.3c0,22,0,75.3,31.3,71.3c31.3-4.7,75.3,0,111.3,26.7c35.3,26.7,71.3,88.7,98,84.7s35.3-35.3,66.7-44.7c31.3-8.7,88.7-8.7,111.3-22s31.3-18-31.3-48.7c-62-31.3-115.3-58-111.3-84.7c4.7-26.7,8.7-35.3,22-75.3s4.7-44.7,26.7-71.3s53.3-31.3,66.7-66.7s8.7-75.3,40-106.7c31.3-31.3,62-58,98-75.3c35.3-18,80-13.3,111.3-4.7c31.3,8.7,44.7,35.3,84.7,26.7s84.7-18,120-35.3c35.3-18,80-40,124.7-26.7c44.7,13.3,120,31.3,142,44.7s84.7,8.7,128.7,13.3c44.7,4.7,62,40,93.3,53.3c31.3,13.3,31.3,40,88.7,40c58,0,98,18,102,53.3c4.7,35.3,35.3,62,44.7,84.7c8.7,22,8.7,88.7,0,120c-8.7,31.3-8.7,62-26.7,88.7c-18,26.7-66.7,102-40,120c26.7,18,71.3-31.3,71.3-31.3s40-31.3,71.3-44.7s115.3-22,142,0s84.7,18,111.3,48.7c26.7,31.3,40,53.3,93.3,80s111.3,44.7,133.3,84.7s18,58,18,106.7s-26.7,98-22,115.3c4.7,18,80,48.7,88.7,106.7c8.7,58-40,115.3-44.7,133.3c-4.7,18-26.7,66.7-44.7,75.3c-18,8.7-71.3,44.7-88.7,44.7s-58-22-62,35.3c-4.7,58-22,124.7-35.3,133.3c-13.3,8.7-20,75.3-73.3,75.3s-51.3,4.7-104.7-4.7c-53.3-8.7-58,26.7-80,48.7c-22,22-40,31.3-62,53.3c-22,22-62,75.3-84.7,93.3c-22,18-88.7,66.7-133.3,66.7c-44.7,0-75.3-18-93.3-8.7c-18,8.7-62,58-128.7,40c-66.7-18-124.7-22-146.7-13.3c-22,8.7-128.7,22-168.7,4.7s-88.7,22-115.3,22s-138,13.3-160,4.7c-22-8.7-93.3,35.3-142,31.3c-48.7-4.7-151.3-2-182-46.7c-31.3-44.7-84.7-108.7-138-60c-53.3,48.7-31.3,93.3-62,133.3s-62,71.3-106.7,84.7s-98,22-88.7,62c8.7,40,8.7,142-18,182s-44.7,102-80,124.7c-35.3,22-151.3,102-164.7,111.3c-13.3,8.7-40-31.3-18-48.7c22-18,120-71.3,151.3-164.7c31.3-93.3,4.7-164.7,40-235.3c35.3-71.3,58-98,115.3-142c58-44.7,71.3-62,98-128.7s35.3-111.3,120-128.7C26179.3,2388.7,26263.3,2424.7,26316.7,2353.3z' data-paper-data='{&quot;rotation&quot;:0,&quot;annotation&quot;:null}' id='smooth_path_e0c94e07-0993-440f-bbd1-8154642129a8' fill-opacity='0' fill='#f1d0a9' stroke='#f1d0a9' stroke-width='23.50433' stroke-linecap='butt' stroke-linejoin='miter' stroke-miterlimit='10' stroke-dasharray='' stroke-dashoffset='0' font-family='sans-serif' font-weight='normal' font-size='12' text-anchor='start' mix-blend-mode='normal'/></svg>"
