Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,,,,,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
A,18,,སྐྱེ་བོ་མང་པོས་བདག་ལ་ཕྱག་བྱས་པ་དང་།  རང་ཉིད་ངུ་ཞིང་རྒོད་པ་རྨིའོ།,and that a huge crowd of people prostrated themselves at the prince's feet while she herself was sobbing uncontrollably.,,,,,9b.2,,
A,18,,།གྲགས་འཛིན་མ་ལ་རྨི་ལམ་བརྒྱད་རྨི་སྟེ།,Yashodhara (Grags 'dzin ma) dreamed eight dreams:,,,,,9b.2,,
A,18,,ཁྱིམ་གྱི་གདུང་ཆག་པ་དང་།,"her house's ridge beam splintered,",,,,,9b.2,,
A,18,,མལ་ཁྲི་ཆག་པ་དང་།,"her bed shattered,",,,,,9b.2,,
A,18,,ལག་གདུབ་ཆག་པ་དང་།,"her bracelets broke,",,,,,9b.2-3,,
A,18,,སོ་ལྷགས་པ་དང་།,"her teeth fell out,",,,,,9b.3,,
A,18,,ལན་བུ་ཞིག་པ་དང་།,"her braid untwined,",,,,,9b.3,,
A,18,,ཁྱིམ་ནས་དཔལ་སོང་བ་དང་།,"the glory of her house faded,",,,,,9b.3,,"The Vinayavastu source has: ""dpal khyim nas byung ba"""
A,18,,ཟླ་བ་གཟས་བཟུང་བ་དང་།,"the planets eclipsed the moon,",,,,,9b.3,,
A,18,,ཉི་མ་ཤར་ཕྱོགས་སུ་ནུབ་པའོ།,and the sun set in the east.,,,,,9b.3,,
A,18,,།བྱང་ཆུབ་སེམས་དཔའ་ལ་མནལ་ལམ་ལྔ་རྨིས་ཏེ།,The Bodhisattva fell asleep and had five dreams.,,,,,9b.3,,
A,18,,རི་རབ་ལ་སྔས་མཛད་ཅིང་ས་གཞི་གཟིམས་མལ་དུ་མཛད་པ་དང་།,The earth itself was his bed and Mount Meru (Ri rab) his pillow;,,,,,9b.3-4,,
A,18,,ཕྱག་གཡས་ནུབ་ཀྱི་རྒྱ་མཚོར་བཅུག  གཡོན་ཤར་གྱི་རྒྱ་མཚོར་བཅུག  ཞབས་རྒྱ་མཚོ་ཆེན་པོའི་གཏིང་དུ་བརྐྱངས་པ་དང་།,"his right hand sliced into the Western Ocean and his left into the Eastern Ocean, while his outstretched legs tread the bottom of the Great Ocean;",,,,,9b.4,,
A,18,,འགྲེང་བ་ཞེས་བྱ་བའི་རྩ་རིང་པོ་ཞིག་སྐུའི་ལྟེ་བ་ནས་སྐྱེས་ཏེ་ནམ་མཁའི་དབྱིངས་སུ་འཕགས་པ་དང་།,a very long stalk of grass spiraled out of his navel and went skyward;,,,,,9b.4-5,,
A,18,,བྱ་ལུས་དཀར་ལ་མགོ་ནག་པ་མང་པོས་ཞབས་ལ་གཏུགས་ཤིང་ལྡག་ལ།  བྱ་སྣ་ཚོགས་ཕྱོགས་བཞི་ནས་འོངས་ཏེ་སྐུ་མདུན་དུ་འདུས་པ་ན་ཐམས་ཅད་ཁ་དོག་གཅིག་ཏུ་སོང་བ་དང་།,"a swarm of black-headed white birds surged at his feet and licked them. Varicolored birds darted forward from the four directions and clustering in front of him, turned to one uniform color; and",,,,,9b.5,,
A,18,,མི་གཙང་བའི་རིའི་སྟེང་ནས་བདག་ཉིད་འཆག་པར་མཛད་ཀྱང་མི་གཙང་བས་མ་གོས་པའོ།,he walked upon a mountain of sludge without getting a speck of soil or stain.,,,,,9b.5-6,,
A,18,,།དེར་བྱང་ཆུབ་སེམས་དཔའ་ཐུགས་དགྱེས་ཏེ།,The Bodhisattva's heart filled with joy.,,,,,9b.6,,
A,18,,ངས་རྨི་ལམ་འདི་ལྟ་བུ་རྨི་ན།  རིང་པོར་མི་ཐོགས་བར་བླ་ན་མེད་པའི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར་རོ་སྙམ་དུ་དགོངས་སོ།,“These dreams are a sign that before long I shall attain the wisdom which is unsurpassable.”,,,,,9b.6,,
A,18,,།དེར་གྲགས་འཛིན་མས་རྨི་ལམ་རྣམས་གསོལ་བ་ན།  དེར་ཡིད་མི་བདེ་བ་རྣམས་བསལ་བའི་ཕྱིར་རྨི་ལམ་མི་བདེན་པའི་དོན་ཅན་དུ་གསུངས།,"When Yashodhara related her dreams to Siddhartha he, to soothe her fears, advised her not to give credence to dreams.",,,,,9b.6-10a.5,,
A,18,,དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་ད་ནི་བདག་གདོན་མི་ཟ་བར་ནགས་སུ་འགྲོ་བར་བྱ་དགོས་པས།,"The Bodhisattva knew, without the shadow of a doubt, that he would soon have to leave for the wilds,",,,,,10a.5-6,,
A,18,,འདི་ལ་ཟུར་གྱིས་བསྟན་ནོ་དགོངས་ཏེ་གྲགས་འཛིན་མ་ལ་ཕྱོགས་མཚོན་པ་ཙམ་གསུངས་པ་ན།,but to save the queen from worry he announced his plans in veiled terms.,,,,,10a.6,,
A,18,,གྲགས་འཛིན་མས་གསོལ་པ།,She caught what he was alluding to immediately.,,,,,10a.6,,
A,18,,ལྷ་ཁྱོད་གང་དུ་བཞུད་པ་དེར་བདག་བཀྲི་བར་གསོལ།,"“Sire,” she pleaded, “wherever you may go, take me with you!”",,,,,10a.6,,
A,18,,བྱང་ཆུབ་སེམས་དཔས་ཞི་བའི་དབྱིངས་ལ་དགོངས་ནས་,"Deep down, the prince was always thinking of the sphere of ultimate peace.",,,,,10a.6,,
A,18,,དེ་བཞིན་དུ་བྱའོ་ཞེས་ཞལ་གྱིས་བཞེས་ཏེ།,But he promised Yashodhara that he would take her along.,,,,,10a.6-7,,
A,18,,དེ་ལྟར་ན་དགུང་ལོ་ཉི་ཤུ་རྩ་དགུ་ཁབ་ཏུ་བཞུགས་སོ།,He was just twenty-nine years old.,,,,,N/A,,
A,18,,།དེ་ནས་བརྒྱ་བྱིན་དང་ཚངས་པ་ལ་སོགས་པ་ལྷ་རྣམས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའི་དགོངས་པ་ཡང་ཤེས།,"A little while later, Indra (Brgya byin), Brahma (Tshangs pa) and a host of other gods appeared to the Bodhisattva. They were aware of his intention",,,,,10a.7,,
A,18,,རབ་ཏུ་འབྱུང་བའི་དུས་ཀྱང་ཤེས་ནས་,and knew that the time for leaving home had come.,,,,,10a.7,,
A,18,,བཞེངས་སུ་གསོལ་བ་དང་།  ནགས་སུ་གཤེགས་པར་བསྐུལ་བ་ན།,"""Rise, Prince, it is time to leave for forests wild!""",,,,,10a.7-10b.2,,
A,18,,བཀའ་སྩལ་པ།  ད་ལྟར་དམག་གི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཞིང་བསྲུངས་ན་ཇི་ལྟར་བགྱིད།,"""How can I? the Bodhisattva asked, ""The army has surrounded the palace!""",,,,,10b.2-4,,
A,18,,བརྒྱ་བྱིན་གྱིས་གསོལ་པ།  ཇི་ལྟར་ཁྱོད་ནི་གེགས་མེད་པར།  །དེ་ཉིད་ནགས་སུ་གཤེགས་འགྱུར་བ། །བདག་ཅག་ཚངས་སོགས་བཅས་པ་ཡི། །ལྷ་རྣམས་ཀྱིས་ནི་དེ་བཞིན་བགྱིད།,"Indra replied: Just as, you in former times got others to the forest unhindered, Brahma, myself and the other gods will do the same for you.",,,,,10b.5-6,,
A,18,,།ཅེས་གསོལ་བས་བྱང་ཆུབ་སེམས་དཔའ་དགྱེས་ཏེ་བཞེངས་སོ།,"Delighted to hear this, the Bodhisattva leapt out of bed.",,,,,10b.6,,
A,18,,།དེ་ནས་བརྒྱ་བྱིན་གྱིས་སྐྱེ་བོ་རྣམས་གཉིད་ཀྱིས་མྱོས་པར་བྱས་ཤིང་།,"Indra put all the inhabitants of the citadel into an overpowering sleep,",,,,,10b.6,,
A,18,,སྐས་ཆེན་པོ་མི་ལྔ་བརྒྱས་འཛུགས་དགོས་པ་དེ་གནོད་སྦྱིན་ལྔ་རྩེན་གྱིས་བཙུགས།,while the yaksa Pañcika (gnad sbyin Lnga rtsen) propped the colossal ladder—which even five hundred men together could barely lift—against the castle wall.,,,,,10b.6-7,,
A,18,,བྱང་ཆུབ་སེམས་དཔའ་སྐས་དེ་ལས་བབས་ཏེ་ཤོད་ཀྱིས་གཞིར་ཕེབས།,The Bodhisattva climbed swiftly down and landed at the foot of the wall.,,,,,10b.7,,
A,18,,མདུན་པ་གཉིད་དུ་སོང་བ་བསླངས་ཏེ།  རྟ་སྔགས་ལྡན་ལོངས་ཤིག,"He ran to wake his equerry: ""Chandaka (Mdun pa), quick, bridle my horse Kanthaka (Sngags ldan),",,,,,11a.1,,
A,18,,ཁོ་བོ་ནི་ནགས་སུ་འགྲོའོ།,I'm off to the forest!,,,,,11a.1-2,,
A,18,,།དེས་གསོལ་པ།  ལྷ་ཁྱེད་ནི་སྐྱེད་མོས་ཚལ་གྱི་དུས་མ་བབ།,"Your Highness, this is not the time for going to gardens!",,,,,11a.2,,
A,18,,དེས་པ་ཁྱོད་དང་འཁོན་པ་འགའ་མ་མཆིས།,"Besides, nobody's upset with you.",,,,,11a.2,,
A,18,,ཁྱོད་ལ་དགྲ་བོ་སུ་ཡང་མ་མཆིས་པར།,Nobody knows you to have a single enemy.,,,,,11a.2,,
A,18,,།དགུང་ཕྱེད་ཁྱེད་ལ་ཆིབས་པས་ཅི་ཞིག་བགྱི།,So why do you want to ride off [sneak off] in the dead of night?,,,,,11a.2-3,,
A,18,,།བྱང་ཆུབ་སེམས་དཔས་ངའི་ཚིག་མ་གཅོག་ཅིག་ཅེས་གསུངས་ཀྱང་།,"""Don't talk to me like that!"" the Bodhisattva cried, ""Do as I tell you!""",,,,,11a.3,,
A,18,,མཚན་མོ་འཇིགས་སུ་རུང་ངོ་ཞེས་ཆིབས་པ་མི་ལེན་ནོ།,"But Chandaka, pretending to be afraid of the dark, would not fetch the prince's stallion.",,,,,11a.3-4,,
A,18,,།དེ་ནས་ལན་དང་ཡང་ལན་མང་པོ་བྱས་ན་,The Bodhisattva insisted but the equerry turned a deaf ear.,,,,,11a.4,,
A,18,,སྐྱེ་བོ་རྣམས་གཉིད་སད་པར་འགྱུར་རོ་བསྙམ་དུ་དགོངས་ནས།,"In the end, lest their argument wake the guards,",,,,,11a.4,,
A,18,,བྱང་ཆུབ་སེམས་དཔའ་ཉིད་ཀྱིས་སྔགས་ལྡན་བཟུང་བར་བརྩམས་པ་ན།,Siddhartha himself went off to look for his steed.,,,,,11a.4-5,,
A,18,,དེས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་དཀའ་ཐུབ་ཀྱི་གནས་སུ་གཤེགས་པར་རིག་ནས་,Kanthaka sensed that the Prince wished to go to the Ascetics' Forest (Dka' thub kyi gnas).,,,,,N/A,,
A,18,,མི་དགའ་བས་འབྲོས་ཤིང་།  རྐང་པས་འཕྲ་བ་དང་འཇིང་ཀྱོག་བྱེད་དོ།,"Alarmed, it arched its neck, reared and bucked.",,,,,11a.5,,
A,18,,།དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་སྔགས་ལྡན་གྱི་མགོ་ལ་ཕྱག་གིས་བཞབས་ནས།,"Softly caressing the high-spirited creature's forehead, the Bodhisattva whispered in its ear:",,,,,11a.5-6,,
