Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
1,16,1,བཅུ་དྲུག་པ་བཙུན་མོ་རི་དྭགས་སྐྱེས་བ་བཞེས་པ་ནི།,"Chapter 16. The Bodhisattva Takes Mrigaja in Marriage",,,Vol. Ga (4) p. 15,,"Vinayavastu (Saṃghabhedavastu): vol. Nga, 7b.1-7b.4",,
1,16,1,དེ་ནས་གྲོང་ཁྱེར་གྱི་ནང་དུ་ཚུར་ཕེབས་པ་ན། ཤཱཀྱ་དུས་ལེགས་ཀྱི་བུ་མོ་རི་དྭགས་སྐྱེས་ཞེས་བྱ་བ་བུད་མེད་མཆོག་ཞིག་དཀར་ཁུང་ནས་ལྟ་ཞིང་འདུག་པས་བྱང་ཆུབ་སེམས་དཔའ་མཐོང་སྟེ།,"Once when the Bodhisattva was travelling around the city, a remarkable woman, Shakya Kalasadhu's daughter named Mrigaja, was looking from her window when she saw the Bodhisattva.","གཞོན་ནུ་རི་དྭགས་སྐྱེས་","The Youth Mrigaja",ཡང་ཕྱོགས་ཇི་ལྟར་འོས་པ་ཞིག་ཏུ། ཁང་བཟང་གཅིག་དང་ཉེ་བ་ནས། བྱང་ཆུབ་སེམས་དཔའ་ཤིང་རྟ་ལ་ཞུགས་ནས་འབྱོན་པ་དང་།  ཁང་བཟང་གི་སྐར་ཁུང་ནས་རི་དྭགས་སྐྱེས་མ་ལ་ལྟ་ཞིང་འདུག་པ་ལ།   བྱང་ཆུབ་སེམས་དཔའ་མུ་ཏིག་འཕྲེང་བ་འཕངས་པ། དེའི་མགུལ་དུ་མཁྲིལ་བ་དང་། ,"Again, near a mansion, the Buddha rides in a carriage.  Mṛgajā sees the Bodhisattva from a window at the mansion. The Bodhisattva throws his pearl rosary which lands around her neck.",7b.1,,
1,16,1,"ཀྱེ་མ་འདི་ཡི་ཡུམ་བདེ་ཞིང་། །ཡབ་དེ་ཡང་ནི་བདེ་བ་ཡིན།  །ཀྱེ་མ་གང་གི་ཁྱིམ་ཐབས་གྱུར། །བུད་མེད་དེ་ཡང་མྱ་ངན་འདས།།ཞེས་སྨྲས་སོ།","O, how happy must be his mother. How happy his father must be too. O, the woman who becomes his wife, Will pass beyond suffering.",,,,,7b.2,,
1,16,1,།བྱང་ཆུབ་སེམས་་དཔའ་ནི་ཞི་བ་མྱང་འདས་ཀྱི་ཚིག་དེ་གསན་པས་དགྱེས་ཏེ། མུ་ཏིག་གི་ཕྲེང་བ་དེ་ལ་འཕངས་པ་དཀར་ཁུང་ནས་སོང་སྟེ་དེའི་མགུལ་དུ་འཁྲིས་སོ།,"The Bodhisattva was delighted when he heard the words ""peace"" and ""pass beyond suffering."" He thew a pearl necklace toward the woman, and it went through the window to land around her neck.",,,,,7b.2-3,,
1,16,2,།དེ་སྐྱེ་བོའི་ཚོགས་ཀྱིས་མཐོང་སྟེ་རྒྱལ་པོ་ལ་ཞུས་པས་རི་དྭགས་སྐྱེས་འཁོར་ཉི་ཁྲི་དང་བཅས་པ་བྱང་ཆུབ་སེམས་དཔའི་བཙུན་མོར་བླངས་ཏེ།,"People who witnessed this told the king, who took Mrigaja along with her entourage of twenty-thousand women to be the Bodhisattva's queen. ",རི་དྭགས་སྐྱེས་ཁབ་ཏུ་བཞེས་པ་,Taking Mrigaja as his wife,ཁང་བཟང་མཆོག་ཏུ་རི་དྭགས་སྐྱེས་འཁོར་བཅས་ཁབ་ཏུ་བཞེས་པའི་བཀོད་པ་དང་། བཙུན་མོའི་འཁོར་ཚོགས་བསྟན་པའི་སྐོར་རོ། །,"In a mansion, the Bodhisattva takes Mrigaja as his bride.",7b.3-4,,
1,16,2,མདོར་ན་བཙུན་མོའི་མཆོག་གསུམ་ལ་འཁོར་ཉི་ཁྲི་ཉི་ཁྲི་སྟེ་བཙུན་མོ་དྲུག་ཁྲིའོ།,"In brief, the Bodhisattva's three supreme queens each had an entourage of twenty-thousand, so that he had sixty thousand queens.",,,,,7b.4,,
